Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,Revenue,Profit,Month Number,Month name
SO43,2022-04-18,In-Store,USD,24,99,25,3,444.0683425,317.1916732,1332.205028,380.6300079,4,Apr
SO44,2022-01-13,Wholesale,USD,25,151,25,4,288.6525106,206.1803647,1154.610043,329.8885836,1,Jan
SO45,2022-01-14,Online,USD,11,48,9,5,180.9700136,129.2642954,904.8500678,258.5285908,1,Jan
SO46,2022-04-18,In-Store,USD,3,175,7,4,190.4949828,136.0678449,761.9799314,217.7085518,4,Apr
SO47,2022-01-11,Online,USD,25,38,32,9,194.4251409,138.8751007,1749.826268,499.9503624,1,Jan
SO48,2022-04-17,Online,USD,25,243,17,6,304.3069689,217.3621207,1825.841814,521.6690896,4,Apr
SO49,2022-02-28,Online,USD,25,132,4,5,455.0820782,325.0586273,2275.410391,650.1172545,2,Feb
SO50,2022-03-25,Wholesale,USD,1,32,27,3,534.1824707,381.5589076,1602.547412,457.8706892,3,Mar
SO51,2022-03-31,Wholesale,USD,25,235,19,9,299.5416325,213.9583089,2695.874692,770.2499121,3,Mar
SO52,2022-02-06,Online,USD,5,81,20,8,212.670629,151.9075922,1701.365032,486.1042949,2,Feb
SO53,2022-04-17,Online,USD,4,163,27,4,184.1016936,131.5012097,736.4067743,210.4019355,4,Apr
SO54,2022-01-01,In-Store,USD,4,302,17,1,605.0418373,432.172741,605.0418373,172.8690964,1,Jan
SO55,2022-02-05,In-Store,USD,19,265,22,1,434.4588938,310.3277813,434.4588938,124.1311125,2,Feb
SO56,2022-04-08,Distributor,USD,19,133,7,6,393.682761,281.2019721,2362.096566,674.8847331,4,Apr
SO57,2022-04-26,Online,USD,6,37,42,10,514.0235497,367.1596784,5140.235497,1468.638714,4,Apr
SO58,2022-02-09,Online,USD,4,310,7,9,628.651513,449.036795,5657.863617,1616.532462,2,Feb
SO59,2022-03-06,Distributor,USD,8,341,1,3,454.7541345,324.8243818,1364.262403,389.7892581,3,Mar
SO60,2022-03-04,Online,USD,10,62,42,6,184.6742363,131.9101688,1108.045418,316.5844051,3,Mar
SO61,2022-04-05,Distributor,USD,9,244,25,9,207.6675319,148.3339514,1869.007787,534.0022249,4,Apr
SO62,2022-03-05,In-Store,USD,20,170,40,2,465.1143419,332.2245299,930.2286837,265.7796239,3,Mar
SO63,2022-05-22,In-Store,USD,17,147,20,9,310.4313217,221.7366583,2793.881895,798.25197,5,May
SO64,2022-01-17,Distributor,USD,3,8,23,10,643.6956532,459.7826094,6436.956532,1839.130438,1,Jan
SO65,2022-01-27,In-Store,USD,6,199,30,9,380.6943457,271.9245326,3426.249111,978.9283174,1,Jan
SO66,2022-01-23,Online,USD,9,282,12,6,431.0107073,307.8647909,2586.064244,738.8754982,1,Jan
SO67,2022-05-15,Wholesale,USD,18,339,13,4,586.0618055,418.6155754,2344.247222,669.7849206,5,May
SO68,2022-01-17,Online,USD,21,141,42,4,424.0954614,302.9253295,1696.381845,484.6805273,1,Jan
SO69,2022-05-06,Wholesale,USD,15,335,36,1,344.8711419,246.3365299,344.8711419,98.53461196,5,May
SO70,2022-03-16,Online,USD,21,195,1,6,242.6016566,173.2868975,1455.609939,415.8885541,3,Mar
SO71,2022-01-26,Online,USD,20,92,37,5,160.174944,114.4106743,800.8747199,228.8213485,1,Jan
SO72,2022-04-05,Wholesale,USD,11,296,16,6,291.3480871,208.1057765,1748.088522,499.4538636,4,Apr
SO73,2022-03-15,Distributor,USD,10,252,40,3,590.5871417,421.8479584,1771.761425,506.21755,3,Mar
SO74,2022-01-14,Distributor,USD,20,124,32,6,589.2820262,420.915733,3535.692157,1010.197759,1,Jan
SO75,2022-05-19,Online,USD,3,251,14,6,502.8987277,359.2133769,3017.392366,862.1121047,5,May
SO76,2022-01-02,In-Store,USD,1,71,25,1,250.1320581,178.6657558,250.1320581,71.46630233,1,Jan
SO77,2022-04-19,Distributor,USD,21,259,16,7,383.6192617,274.0137583,2685.334832,767.2385234,4,Apr
SO78,2022-03-22,Distributor,USD,23,361,8,7,323.2835666,230.9168333,2262.984966,646.5671332,3,Mar
SO79,2022-03-05,Wholesale,USD,19,331,9,7,579.8504053,414.1788609,4058.952837,1159.700811,3,Mar
SO80,2022-01-31,Wholesale,USD,14,121,8,6,303.658129,216.8986636,1821.948774,520.5567925,1,Jan
SO81,2022-02-05,In-Store,USD,22,69,35,9,497.1477386,355.1055276,4474.329648,1278.379899,2,Feb
SO82,2022-01-03,Distributor,USD,16,41,15,10,287.6280674,205.4486196,2876.280674,821.7944782,1,Jan
SO83,2022-01-30,Wholesale,USD,9,12,43,7,398.277108,284.4836486,2787.939756,796.554216,1,Jan
SO84,2022-03-22,Online,USD,7,232,33,5,336.2474055,240.1767182,1681.237028,480.3534365,3,Mar
SO85,2022-03-27,Distributor,USD,23,164,12,2,558.0217547,398.5869676,1116.043509,318.8695741,3,Mar
SO86,2022-02-02,Distributor,USD,26,39,41,6,255.3304821,182.3789158,1531.982893,437.7093979,2,Feb
SO87,2022-02-05,Distributor,USD,1,365,17,3,169.4464751,121.0331965,508.3394253,145.2398358,2,Feb
SO88,2022-04-25,Online,USD,4,61,16,2,622.1594703,444.3996217,1244.318941,355.5196973,4,Apr
SO89,2022-01-11,Online,USD,20,305,33,8,526.2750623,375.9107588,4210.200498,1202.914428,1,Jan
SO90,2022-03-06,Online,USD,21,84,27,6,502.8520535,359.1800382,3017.112321,862.0320918,3,Mar
SO91,2022-04-14,Online,USD,11,21,15,9,598.2872785,427.3480561,5384.585506,1538.453002,4,Apr
SO92,2022-02-14,In-Store,USD,24,341,19,4,455.6705074,325.4789339,1822.68203,520.7662942,2,Feb
SO93,2022-01-08,In-Store,USD,26,342,39,6,295.8916091,211.3511494,1775.349655,507.2427585,1,Jan
SO94,2022-01-02,Wholesale,USD,25,5,26,9,502.8034383,359.1453131,4525.230945,1292.923127,1,Jan
SO95,2022-04-05,In-Store,USD,21,252,24,4,292.280048,208.7714628,1169.120192,334.0343405,4,Apr
SO96,2022-04-19,Online,USD,14,125,33,2,413.4014275,295.2867339,826.802855,236.2293871,4,Apr
SO97,2022-02-14,Online,USD,2,15,32,4,422.8211634,302.0151167,1691.284653,483.2241867,2,Feb
SO98,2022-05-22,Online,USD,4,332,47,2,246.8978323,176.3555945,493.7956645,141.0844756,5,May
SO99,2022-01-21,In-Store,USD,2,225,20,2,309.5976961,221.1412115,619.1953923,176.9129692,1,Jan
SO100,2022-03-31,Online,USD,3,10,19,3,232.8959928,166.3542805,698.6879783,199.6251366,3,Mar
SO101,2022-04-19,Online,USD,8,311,16,7,473.2449383,338.0320988,3312.714568,946.4898766,4,Apr
SO102,2022-04-24,Distributor,USD,22,54,47,7,191.1540953,136.5386395,1338.078667,382.3081906,4,Apr
SO103,2022-04-08,Distributor,USD,4,58,42,5,315.4961434,225.3543881,1577.480717,450.7087763,4,Apr
SO104,2022-03-06,In-Store,USD,22,304,1,9,323.4489419,231.0349585,2911.040478,831.7258507,3,Mar
SO105,2022-02-24,Wholesale,USD,19,143,39,4,503.0912177,359.3508698,2012.364871,574.9613917,2,Feb
SO106,2022-04-15,Distributor,USD,5,341,33,3,324.3498763,231.6784831,973.0496289,278.0141797,4,Apr
SO107,2022-03-20,Distributor,USD,11,301,20,9,374.954943,267.8249593,3374.594487,964.1698534,3,Mar
SO108,2022-05-26,Online,USD,5,24,31,10,396.1841154,282.9886539,3961.841154,1131.954615,5,May
SO109,2022-03-22,In-Store,USD,8,98,19,6,157.8009805,112.7149861,946.805883,270.5159666,3,Mar
SO110,2022-01-12,Wholesale,USD,17,284,35,9,363.7247382,259.8033845,3273.522644,935.292184,1,Jan
SO111,2022-05-11,Online,USD,18,34,11,3,365.567906,261.1199328,1096.703718,313.3439194,5,May
SO112,2022-04-14,Wholesale,USD,16,21,26,7,223.38258,159.5589857,1563.67806,446.7651601,4,Apr
SO113,2022-02-22,Distributor,USD,10,32,43,3,402.3435261,287.3882329,1207.030578,344.8658795,2,Feb
SO114,2022-05-24,Wholesale,USD,13,65,40,3,576.9332832,412.0952023,1730.79985,494.5142428,5,May
SO115,2022-04-03,In-Store,USD,7,205,11,9,517.6837261,369.7740901,4659.153535,1331.186724,4,Apr
SO116,2022-04-02,In-Store,USD,5,326,39,1,523.0607543,373.6148245,523.0607543,149.4459298,4,Apr
SO117,2022-02-20,In-Store,USD,11,60,26,5,366.482099,261.7729279,1832.410495,523.5458557,2,Feb
SO118,2022-05-26,In-Store,USD,18,182,35,7,224.2482773,160.1773409,1569.737941,448.4965546,5,May
SO119,2022-05-10,Online,USD,3,74,16,7,576.7966052,411.9975751,4037.576236,1153.59321,5,May
SO120,2022-02-09,In-Store,USD,14,152,24,4,461.7985332,329.8560951,1847.194133,527.7697522,2,Feb
SO121,2022-03-13,In-Store,USD,22,177,39,3,327.2895142,233.7782245,981.8685427,280.5338694,3,Mar
SO122,2022-03-21,Distributor,USD,4,36,11,4,635.0137757,453.5812684,2540.055103,725.7300294,3,Mar
SO123,2022-03-06,Distributor,USD,18,362,4,6,594.1868775,424.4191982,3565.121265,1018.606076,3,Mar
SO124,2022-05-25,Distributor,USD,8,199,37,1,292.8174133,209.1552952,292.8174133,83.66211809,5,May
SO125,2022-02-23,Wholesale,USD,11,327,34,8,307.9137821,219.9384158,2463.310256,703.8029304,2,Feb
SO126,2022-02-01,In-Store,USD,26,271,34,2,393.3482476,280.963034,786.6964953,224.7704272,2,Feb
SO127,2022-04-20,In-Store,USD,14,257,22,10,339.8116356,242.7225968,3398.116356,970.8903873,4,Apr
SO128,2022-02-22,Distributor,USD,14,270,25,4,612.3086178,437.3632985,2449.234471,699.7812775,2,Feb
SO129,2022-04-04,Online,USD,14,207,8,7,304.593733,217.5669522,2132.156131,609.187466,4,Apr
SO130,2022-02-21,Online,USD,10,80,32,6,168.0977014,120.0697867,1008.586209,288.1674882,2,Feb
SO131,2022-04-27,In-Store,USD,14,6,45,10,343.4453543,245.3181102,3434.453543,981.2724408,4,Apr
SO132,2022-01-21,Distributor,USD,13,286,3,4,238.0112214,170.0080153,952.0448856,272.0128245,1,Jan
SO133,2022-04-18,Wholesale,USD,26,256,34,10,638.924643,456.374745,6389.24643,1825.49898,4,Apr
SO134,2022-05-22,Distributor,USD,3,94,34,8,153.0388094,109.3134353,1224.310475,349.802993,5,May
SO135,2022-03-29,In-Store,USD,3,304,43,5,556.0705166,397.1932262,2780.352583,794.3864524,3,Mar
SO136,2022-01-20,Wholesale,USD,17,296,9,3,225.0402753,160.7430538,675.120826,192.8916646,1,Jan
SO137,2022-04-29,Online,USD,1,171,28,8,431.3738582,308.1241844,3450.990865,985.9973901,4,Apr
SO138,2022-05-09,Online,USD,26,236,29,7,638.332033,455.9514522,4468.324231,1276.664066,5,May
SO139,2022-04-15,Online,USD,24,305,4,4,639.5182384,456.7987417,2558.072953,730.8779867,4,Apr
SO140,2022-03-12,In-Store,USD,24,203,21,6,491.9649324,351.4035232,2951.789595,843.3684556,3,Mar
SO141,2022-05-21,Online,USD,7,83,35,7,208.04642,148.6045857,1456.32494,416.0928401,5,May
SO142,2022-01-19,In-Store,USD,6,231,32,7,202.2247478,144.4462484,1415.573234,404.4494956,1,Jan
SO143,2022-01-07,Distributor,USD,15,125,24,2,381.358893,272.3992093,762.717786,217.9193674,1,Jan
SO144,2022-02-01,In-Store,USD,7,321,27,9,580.1365721,414.3832658,5221.229149,1491.779757,2,Feb
SO145,2022-04-03,Wholesale,USD,13,353,21,4,624.7006904,446.2147789,2498.802762,713.9436462,4,Apr
SO146,2022-04-06,In-Store,USD,23,206,24,5,541.0043682,386.4316916,2705.021841,772.8633831,4,Apr
SO147,2022-01-02,Online,USD,21,139,23,8,235.0427368,167.8876692,1880.341895,537.2405413,1,Jan
SO148,2022-05-31,Online,USD,11,191,18,1,538.2669253,384.4763752,538.2669253,153.7905501,5,May
SO149,2022-03-02,Wholesale,USD,4,1,42,7,314.0139765,224.2956975,2198.097836,628.027953,3,Mar
SO150,2022-01-06,Wholesale,USD,25,283,37,3,402.2014729,287.2867663,1206.604419,344.7441196,1,Jan
SO151,2022-04-26,Online,USD,17,367,3,10,482.2905341,344.4932386,4822.905341,1377.972955,4,Apr
SO152,2022-01-25,Distributor,USD,21,50,32,10,429.2561996,306.6115711,4292.561996,1226.446285,1,Jan
SO153,2022-05-16,Online,USD,9,353,9,5,371.0981557,265.0701112,1855.490778,530.1402224,5,May
SO154,2022-05-05,In-Store,USD,12,268,22,5,164.0429295,117.1735211,820.2146477,234.3470422,5,May
SO155,2022-05-04,In-Store,USD,6,320,21,6,520.7341817,371.9529869,3124.40509,892.6871686,5,May
SO156,2022-05-23,Online,USD,1,198,27,2,463.271204,330.9080029,926.542408,264.7264023,5,May
SO157,2022-05-22,Wholesale,USD,1,348,29,10,447.2653007,319.4752148,4472.653007,1277.900859,5,May
SO158,2022-04-30,Online,USD,20,154,6,1,528.1550199,377.2535856,528.1550199,150.9014343,4,Apr
SO159,2022-05-16,In-Store,USD,13,35,45,2,280.8073345,200.5766675,561.614669,160.461334,5,May
SO160,2022-01-03,Online,USD,3,86,46,9,254.0734742,181.481053,2286.661268,653.3317907,1,Jan
SO161,2022-01-10,Online,USD,14,7,46,8,480.0433046,342.8880747,3840.346437,1097.241839,1,Jan
SO162,2022-04-06,Online,USD,7,364,29,10,335.5165647,239.6546891,3355.165647,958.6187564,4,Apr
SO163,2022-05-27,In-Store,USD,5,106,47,10,264.88603,189.2043072,2648.8603,756.8172286,5,May
SO164,2022-02-08,Online,USD,13,64,18,2,204.5973973,146.1409981,409.1947947,116.9127985,2,Feb
SO165,2022-02-02,In-Store,USD,4,321,16,5,544.4415058,388.8867899,2722.207529,777.7735798,2,Feb
SO166,2022-05-08,Wholesale,USD,9,236,2,8,519.6620489,371.1871778,4157.296391,1187.798969,5,May
SO167,2022-04-04,Distributor,USD,9,338,24,3,208.6793137,149.0566527,626.0379412,178.8679832,4,Apr
SO168,2022-04-23,Wholesale,USD,24,285,41,8,512.7783372,366.2702409,4102.226698,1172.064771,4,Apr
SO169,2022-04-13,Wholesale,USD,5,303,2,2,328.4663131,234.618795,656.9326261,187.695036,4,Apr
SO170,2022-05-10,Online,USD,11,281,34,1,169.1347464,120.8105332,169.1347464,48.32421327,5,May
SO171,2022-03-30,Distributor,USD,22,322,21,2,372.8698638,266.335617,745.7397276,213.0684936,3,Mar
SO172,2022-01-11,In-Store,USD,20,70,19,4,302.6307592,216.164828,1210.523037,345.8637248,1,Jan
SO173,2022-02-17,Distributor,USD,4,361,38,5,236.8868303,169.2048788,1184.434151,338.4097575,2,Feb
SO174,2022-03-09,Online,USD,9,122,35,9,230.1898452,164.421318,2071.708607,591.9167448,3,Mar
SO175,2022-04-04,Wholesale,USD,1,108,30,2,455.0046163,325.0032974,910.0092326,260.0026379,4,Apr
SO176,2022-04-29,In-Store,USD,14,300,12,4,387.5763552,276.8402537,1550.305421,442.944406,4,Apr
SO177,2022-05-25,Wholesale,USD,3,264,12,2,616.2504818,440.1789156,1232.500964,352.1431324,5,May
SO178,2022-02-25,Distributor,USD,3,200,26,9,320.7475723,229.1054088,2886.728151,824.7794716,2,Feb
SO179,2022-03-24,Online,USD,3,236,40,4,630.6353901,450.4538501,2522.54156,720.7261601,3,Mar
SO180,2022-02-04,In-Store,USD,14,22,41,10,648.0221686,462.8729776,6480.221686,1851.49191,2,Feb
SO181,2022-01-30,Online,USD,14,135,31,3,604.1486372,431.5347409,1812.445912,517.8416891,1,Jan
SO182,2022-02-02,In-Store,USD,17,263,37,2,178.5963188,127.5687992,357.1926377,102.0550393,2,Feb
SO183,2022-04-01,Wholesale,USD,7,18,9,9,214.7095118,153.363937,1932.385606,552.1101732,4,Apr
SO184,2022-03-18,In-Store,USD,3,133,42,2,540.1887195,385.8490854,1080.377439,308.6792683,3,Mar
SO185,2022-02-07,In-Store,USD,5,64,33,2,610.7322366,436.2373118,1221.464473,348.9898495,2,Feb
SO186,2022-04-02,Online,USD,1,150,24,2,232.845765,166.3184036,465.69153,133.0547229,4,Apr
SO187,2022-01-02,Distributor,USD,6,318,28,1,456.2104409,325.8646007,456.2104409,130.3458403,1,Jan
SO188,2022-04-29,Wholesale,USD,17,166,15,3,231.1881294,165.1343782,693.5643883,198.1612538,4,Apr
SO189,2022-02-03,Distributor,USD,7,187,44,5,416.477415,297.4838679,2082.387075,594.9677358,2,Feb
SO190,2022-03-26,Online,USD,25,308,25,3,296.630005,211.878575,889.890015,254.25429,3,Mar
SO191,2022-04-30,Wholesale,USD,8,193,30,8,444.0483947,317.1774248,3552.387158,1014.967759,4,Apr
SO192,2022-04-26,Wholesale,USD,7,321,5,6,356.3522465,254.5373189,2138.113479,610.8895655,4,Apr
SO193,2022-03-22,Distributor,USD,25,113,2,6,401.2011282,286.5722344,2407.206769,687.7733626,3,Mar
SO194,2022-01-18,Distributor,USD,4,186,4,6,389.0606722,277.9004801,2334.364033,666.9611523,1,Jan
SO195,2022-05-14,Wholesale,USD,6,216,34,3,152.2009733,108.714981,456.60292,130.4579771,5,May
SO196,2022-03-14,Online,USD,16,273,43,2,398.8107705,284.8648361,797.621541,227.8918689,3,Mar
SO197,2022-04-07,Online,USD,3,287,28,5,393.3267769,280.9476978,1966.633885,561.8953956,4,Apr
SO198,2022-02-07,Online,USD,10,32,32,4,179.4300638,128.1643313,717.7202554,205.0629301,2,Feb
SO199,2022-03-05,Distributor,USD,14,33,16,5,604.1037846,431.5027033,3020.518923,863.0054066,3,Mar
SO200,2022-02-20,In-Store,USD,18,282,6,3,200.3193777,143.0852698,600.958133,171.7023237,2,Feb
SO201,2022-05-25,Online,USD,4,137,4,7,648.3998324,463.1427374,4538.798827,1296.799665,5,May
SO202,2022-05-30,Distributor,USD,20,210,13,7,560.6642665,400.474476,3924.649865,1121.328533,5,May
SO203,2022-02-24,Wholesale,USD,7,41,30,5,154.2910693,110.2079067,771.4553466,220.4158133,2,Feb
SO204,2022-02-13,Distributor,USD,7,188,3,10,595.3378458,425.2413184,5953.378458,1700.965274,2,Feb
SO205,2022-01-14,Online,USD,8,349,46,3,447.8534612,319.8953294,1343.560384,383.8743953,1,Jan
SO206,2022-05-08,Distributor,USD,21,244,34,3,338.0262805,241.4473432,1014.078842,289.7368119,5,May
SO207,2022-02-07,In-Store,USD,18,226,13,8,414.286326,295.9188043,3314.290608,946.9401737,2,Feb
SO208,2022-03-10,Distributor,USD,10,334,28,10,162.3581793,115.9701281,1623.581793,463.8805124,3,Mar
SO209,2022-02-12,Online,USD,2,98,13,6,330.0241501,235.7315358,1980.1449,565.7556858,2,Feb
SO210,2022-03-04,Distributor,USD,11,152,12,7,558.0691456,398.6208183,3906.484019,1116.138291,3,Mar
SO211,2022-02-26,Wholesale,USD,10,189,23,10,279.742936,199.8163828,2797.42936,799.2655313,2,Feb
SO212,2022-05-07,Online,USD,2,14,40,5,617.4827342,441.0590959,3087.413671,882.1181917,5,May
SO213,2022-01-16,Online,USD,24,245,12,6,438.4173312,313.1552365,2630.503987,751.5725677,1,Jan
SO214,2022-02-12,Online,USD,12,39,24,10,445.8390652,318.4564751,4458.390652,1273.825901,2,Feb
SO215,2022-01-06,In-Store,USD,16,367,19,10,603.8347884,431.3105631,6038.347884,1725.242253,1,Jan
SO216,2022-02-20,Distributor,USD,10,45,8,1,309.2523429,220.8945307,309.2523429,88.35781227,2,Feb
SO217,2022-03-05,In-Store,USD,6,11,12,3,498.2230069,355.8735764,1494.669021,427.0482916,3,Mar
SO218,2022-01-24,Distributor,USD,5,153,32,8,481.3285321,343.8060944,3850.628257,1100.179502,1,Jan
SO219,2022-01-23,Online,USD,23,48,30,1,478.8969052,342.069218,478.8969052,136.8276872,1,Jan
SO220,2022-01-02,Wholesale,USD,17,298,26,9,363.7244396,259.8031712,3273.519957,935.2914162,1,Jan
SO221,2022-03-31,Online,USD,13,360,3,6,419.0813751,299.3438393,2514.48825,718.4252144,3,Mar
SO222,2022-02-12,In-Store,USD,10,286,36,6,591.179453,422.2710379,3547.076718,1013.450491,2,Feb
SO223,2022-01-11,Distributor,USD,18,239,8,4,156.3160663,111.6543331,625.2642653,178.6469329,1,Jan
SO224,2022-04-03,Distributor,USD,3,250,45,4,433.8011849,309.8579892,1735.20474,495.7727827,4,Apr
SO225,2022-05-21,Distributor,USD,19,125,12,9,522.0984537,372.9274669,4698.886083,1342.538881,5,May
SO226,2022-01-09,Wholesale,USD,6,17,16,9,469.6362737,335.4544812,4226.726464,1207.636132,1,Jan
SO227,2022-04-10,In-Store,USD,20,25,14,1,584.6714342,417.622453,584.6714342,167.0489812,4,Apr
SO228,2022-02-24,Wholesale,USD,11,6,9,10,585.807591,418.4339935,5858.07591,1673.735974,2,Feb
SO229,2022-02-28,In-Store,USD,8,303,43,5,389.1117062,277.936933,1945.558531,555.873866,2,Feb
SO230,2022-05-19,Wholesale,USD,26,136,20,4,525.7491041,375.5350744,2102.996417,600.856119,5,May
SO231,2022-04-08,In-Store,USD,7,363,3,7,568.1251794,405.8036995,3976.876255,1136.250359,4,Apr
SO232,2022-05-17,In-Store,USD,26,297,45,9,305.3196466,218.0854619,2747.876819,785.1076627,5,May
SO233,2022-03-18,Wholesale,USD,21,5,29,10,342.2056662,244.4326187,3422.056662,977.730475,3,Mar
SO234,2022-03-20,Online,USD,7,128,28,8,450.8268431,322.0191737,3606.614745,1030.461356,3,Mar
SO235,2022-01-25,Online,USD,10,255,40,5,563.0631049,402.1879321,2815.315525,804.3758642,1,Jan
SO236,2022-04-08,In-Store,USD,25,16,46,8,634.2424421,453.0303158,5073.939537,1449.697011,4,Apr
SO237,2022-04-11,In-Store,USD,5,194,31,5,543.4775628,388.1982592,2717.387814,776.3965183,4,Apr
SO238,2022-01-14,In-Store,USD,11,149,18,6,416.1403037,297.2430741,2496.841822,713.3833778,1,Jan
SO239,2022-03-30,In-Store,USD,5,352,5,8,587.985272,419.98948,4703.882176,1343.966336,3,Mar
SO240,2022-02-07,Distributor,USD,24,70,31,9,421.1382945,300.8130675,3790.24465,1082.927043,2,Feb
SO241,2022-03-14,Distributor,USD,9,188,19,5,220.0529453,157.1806752,1100.264727,314.3613505,3,Mar
SO242,2022-01-10,Distributor,USD,3,163,42,2,391.875338,279.9109557,783.7506759,223.9287645,1,Jan
SO243,2022-04-08,In-Store,USD,20,53,25,6,262.6466244,187.6047317,1575.879746,450.2513561,4,Apr
SO244,2022-02-24,Online,USD,14,363,38,10,211.804872,151.2891943,2118.04872,605.1567772,2,Feb
SO245,2022-03-22,Distributor,USD,20,113,5,1,521.3513083,372.3937916,521.3513083,148.9575167,3,Mar
SO246,2022-01-02,Wholesale,USD,7,267,36,6,593.3359619,423.8114014,3560.015772,1017.147363,1,Jan
SO247,2022-04-18,Online,USD,10,188,15,9,475.4476138,339.6054384,4279.028524,1222.579578,4,Apr
